2021-12-12 14:12:98 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-12 15:12:811 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-12 15:12:879 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-12 15:12:535 INFO  HomePage :47 - Clicking on Computer link : [[ChromeDriver: chrome on WINDOWS (39c7aae174a0e5a0f95559235d0f0051)] -> link text: Computers]
2021-12-12 15:12:366 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-12 15:12:301 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-12 15:12:745 INFO  HomePage :40 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (59f5515e972d42dff37403d69a510c4e)] -> xpath: //a[@class='ico-register']]
2021-12-13 20:12:807 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 20:12:553 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 20:12:33 INFO  HomePage :47 - Clicking on Computer link : [[ChromeDriver: chrome on WINDOWS (b1aa74779e645e723803e7a4a6112631)] -> link text: Computers]
2021-12-13 20:12:53 INFO  ComputerPage :23 -  verify Computer text [[ChromeDriver: chrome on WINDOWS (b1aa74779e645e723803e7a4a6112631)] -> xpath: //h1[contains(text(),'Computers')]]
2021-12-13 20:12:916 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 20:12:90 INFO  HomePage :34 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (5be2c652e1f43d7ee457ba8dd1a7696b)] -> link text: Log in]
2021-12-13 20:12:115 INFO  LoginPage :59 - verify welcome text: displayed on welcome text [[ChromeDriver: chrome on WINDOWS (5be2c652e1f43d7ee457ba8dd1a7696b)] -> xpath: //div[@class='page-title']//h1]
2021-12-13 20:12:945 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 20:12:350 INFO  HomePage :40 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (807beee4b7f5e94a0cbeb24517a90703)] -> xpath: //a[@class='ico-register']]
2021-12-13 20:12:374 INFO  RegisterPage :61 - Verify personal Text:  displayed on personal text page[[ChromeDriver: chrome on WINDOWS (807beee4b7f5e94a0cbeb24517a90703)] -> xpath: //div[@class='title']//strong[text()='Your Personal Details']]
2021-12-13 20:12:840 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 20:12:638 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 20:12:525 INFO  HomePage :47 - Clicking on Computer link : [[ChromeDriver: chrome on WINDOWS (20c6cc9068762d2ef3675c6b911c841b)] -> link text: Computers]
2021-12-13 20:12:541 INFO  ComputerPage :23 -  verify Computer text [[ChromeDriver: chrome on WINDOWS (20c6cc9068762d2ef3675c6b911c841b)] -> xpath: //h1[contains(text(),'Computers')]]
2021-12-13 20:12:409 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 20:12:692 INFO  HomePage :34 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (6091198a0531d4cd32fb9719c9e5c0af)] -> link text: Log in]
2021-12-13 20:12:713 INFO  LoginPage :59 - verify welcome text: displayed on welcome text [[ChromeDriver: chrome on WINDOWS (6091198a0531d4cd32fb9719c9e5c0af)] -> xpath: //div[@class='page-title']//h1]
2021-12-13 20:12:515 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 20:12:35 INFO  HomePage :40 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (f6ee7c0cd2b31947a22dd52460bc5fe7)] -> xpath: //a[@class='ico-register']]
2021-12-13 20:12:58 INFO  RegisterPage :61 - Verify personal Text:  displayed on personal text page[[ChromeDriver: chrome on WINDOWS (f6ee7c0cd2b31947a22dd52460bc5fe7)] -> xpath: //div[@class='title']//strong[text()='Your Personal Details']]
2021-12-13 21:12:376 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 21:12:963 INFO  HomePage :47 - Clicking on Computer link : [[ChromeDriver: chrome on WINDOWS (8ccd40df701ef5f38de25f78c82db166)] -> link text: Computers]
2021-12-13 21:12:991 INFO  ComputerPage :23 -  verify Computer text [[ChromeDriver: chrome on WINDOWS (8ccd40df701ef5f38de25f78c82db166)] -> xpath: //h1[contains(text(),'Computers')]]
2021-12-13 21:12:916 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 21:12:315 INFO  HomePage :34 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b39a9e9af28ed375384dbdf736f94ada)] -> link text: Log in]
2021-12-13 21:12:334 INFO  LoginPage :59 - verify welcome text: displayed on welcome text [[ChromeDriver: chrome on WINDOWS (b39a9e9af28ed375384dbdf736f94ada)] -> xpath: //div[@class='page-title']//h1]
2021-12-13 21:12:172 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-13 21:12:679 INFO  HomePage :40 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (e164d189bb892fcbe4f033165706f6a2)] -> xpath: //a[@class='ico-register']]
2021-12-13 21:12:699 INFO  RegisterPage :61 - Verify personal Text:  displayed on personal text page[[ChromeDriver: chrome on WINDOWS (e164d189bb892fcbe4f033165706f6a2)] -> xpath: //div[@class='title']//strong[text()='Your Personal Details']]
2021-12-15 10:12:800 INFO  ManageDriver :29 - Launching chrome Browser
2021-12-15 10:12:940 INFO  HomePage :47 - Clicking on Computer link : [[ChromeDriver: chrome on WINDOWS (9f3c34a5512993c5747e8bc029a96db0)] -> link text: Computers]
2021-12-15 10:12:968 INFO  ComputerPage :23 -  verify Computer text [[ChromeDriver: chrome on WINDOWS (9f3c34a5512993c5747e8bc029a96db0)] -> xpath: //h1[contains(text(),'Computers')]]
2021-12-15 10:12:164 INFO  ManageDriver :29 - Launching chrome Browser
